"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 21 07:11:34 GMT 2024","Wed Aug 21 07:12:04 GMT 2024","30388","","main.spec.ts","","","","Login",""
"failed","Wed Aug 21 07:21:02 GMT 2024","Wed Aug 21 07:21:32 GMT 2024","30401","","main.spec.ts","","","","Get all the Themes List",""
"passed","Wed Aug 21 07:18:24 GMT 2024","Wed Aug 21 07:18:24 GMT 2024","15","","main.spec.ts","","","","Plugin Update",""
"failed","Wed Aug 21 07:16:18 GMT 2024","Wed Aug 21 07:16:48 GMT 2024","30403","","main.spec.ts","","","","Free Plugin Create",""
"failed","Wed Aug 21 07:17:53 GMT 2024","Wed Aug 21 07:18:23 GMT 2024","30389","","main.spec.ts","","","","Premium Plugin Create",""
"failed","Wed Aug 21 07:19:27 GMT 2024","Wed Aug 21 07:19:58 GMT 2024","30409","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"failed","Wed Aug 21 07:22:37 GMT 2024","Wed Aug 21 07:23:07 GMT 2024","30391","","main.spec.ts","","","","Free Theme Create",""
"failed","Wed Aug 21 07:14:43 GMT 2024","Wed Aug 21 07:15:14 GMT 2024","30385","","main.spec.ts","","","","Get all the Plugins List",""
"failed","Wed Aug 21 07:13:09 GMT 2024","Wed Aug 21 07:13:39 GMT 2024","30388","","main.spec.ts","","","","Getting Dashboard Overview Details",""
