"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 06:13:30 GMT 2024","Thu Aug 22 06:13:33 GMT 2024","2846","","main.spec.ts","","","","Bundle Create",""
"passed","Thu Aug 22 06:13:52 GMT 2024","Thu Aug 22 06:14:05 GMT 2024","12649","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Thu Aug 22 06:13:18 GMT 2024","Thu Aug 22 06:13:18 GMT 2024","810","","main.spec.ts","","","","Get all the Themes List",""
"passed","Thu Aug 22 06:13:07 GMT 2024","Thu Aug 22 06:13:08 GMT 2024","751","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Thu Aug 22 06:13:36 GMT 2024","Thu Aug 22 06:13:39 GMT 2024","3129","","main.spec.ts","","","","License Mapping",""
"passed","Thu Aug 22 06:13:12 GMT 2024","Thu Aug 22 06:13:17 GMT 2024","4290","","main.spec.ts","","","","Plugin Update",""
"passed","Thu Aug 22 06:13:50 GMT 2024","Thu Aug 22 06:13:52 GMT 2024","2303","","main.spec.ts","","","","License Activation",""
"passed","Thu Aug 22 06:13:33 GMT 2024","Thu Aug 22 06:13:34 GMT 2024","731","","main.spec.ts","","","","Products List",""
"passed","Thu Aug 22 06:14:09 GMT 2024","Thu Aug 22 06:14:11 GMT 2024","1486","","main.spec.ts","","","","Paddle Integration",""
"passed","Thu Aug 22 06:13:48 GMT 2024","Thu Aug 22 06:13:50 GMT 2024","2259","","main.spec.ts","","","","License Key",""
"passed","Thu Aug 22 06:13:06 GMT 2024","Thu Aug 22 06:13:07 GMT 2024","934","","main.spec.ts","","","","Login",""
"passed","Thu Aug 22 06:13:08 GMT 2024","Thu Aug 22 06:13:10 GMT 2024","2179","","main.spec.ts","","","","Free Plugin Create",""
"passed","Thu Aug 22 06:14:07 GMT 2024","Thu Aug 22 06:14:09 GMT 2024","2466","","main.spec.ts","","","","FastSpring Integration",""
"passed","Thu Aug 22 06:13:26 GMT 2024","Thu Aug 22 06:13:30 GMT 2024","4560","","main.spec.ts","","","","Release Create",""
"passed","Thu Aug 22 06:13:45 GMT 2024","Thu Aug 22 06:13:48 GMT 2024","2226","","main.spec.ts","","","","Order Details",""
"passed","Thu Aug 22 06:13:10 GMT 2024","Thu Aug 22 06:13:12 GMT 2024","2129","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Thu Aug 22 06:13:22 GMT 2024","Thu Aug 22 06:13:26 GMT 2024","3259","","main.spec.ts","","","","Theme Update",""
"passed","Thu Aug 22 06:14:05 GMT 2024","Thu Aug 22 06:14:07 GMT 2024","1738","","main.spec.ts","","","","weMail Integration",""
"passed","Thu Aug 22 06:13:07 GMT 2024","Thu Aug 22 06:13:07 GMT 2024","825","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Thu Aug 22 06:13:34 GMT 2024","Thu Aug 22 06:13:36 GMT 2024","2254","","main.spec.ts","","","","Products Hash",""
"passed","Thu Aug 22 06:13:20 GMT 2024","Thu Aug 22 06:13:22 GMT 2024","2026","","main.spec.ts","","","","Premium Theme Create",""
"passed","Thu Aug 22 06:13:18 GMT 2024","Thu Aug 22 06:13:20 GMT 2024","2020","","main.spec.ts","","","","Free Theme Create",""
"passed","Thu Aug 22 06:13:17 GMT 2024","Thu Aug 22 06:13:18 GMT 2024","782","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Thu Aug 22 06:13:43 GMT 2024","Thu Aug 22 06:13:45 GMT 2024","2385","","main.spec.ts","","","","Order Create",""
"passed","Thu Aug 22 06:14:11 GMT 2024","Thu Aug 22 06:14:22 GMT 2024","11803","","main.spec.ts","","","","Prodcut Delete",""
"passed","Thu Aug 22 06:13:42 GMT 2024","Thu Aug 22 06:13:43 GMT 2024","742","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Thu Aug 22 06:13:39 GMT 2024","Thu Aug 22 06:13:42 GMT 2024","3126","","main.spec.ts","","","","Single variation & One Time Payment",""
