"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 07:31:51 GMT 2024","Tue Aug 27 07:31:52 GMT 2024","1356","","main.spec.ts","","","","Release Create",""
"passed","Tue Aug 27 07:31:57 GMT 2024","Tue Aug 27 07:31:58 GMT 2024","518","","main.spec.ts","","","","Order Details",""
"passed","Tue Aug 27 07:32:06 GMT 2024","Tue Aug 27 07:32:07 GMT 2024","1067","","main.spec.ts","","","","weMail Integration",""
"passed","Tue Aug 27 07:32:09 GMT 2024","Tue Aug 27 07:32:10 GMT 2024","524","","main.spec.ts","","","","Paddle Integration",""
"passed","Tue Aug 27 07:31:35 GMT 2024","Tue Aug 27 07:31:36 GMT 2024","1133","","main.spec.ts","","","","Login",""
"passed","Tue Aug 27 07:31:55 GMT 2024","Tue Aug 27 07:31:56 GMT 2024","875","","main.spec.ts","","","","License Mapping",""
"passed","Tue Aug 27 07:31:52 GMT 2024","Tue Aug 27 07:31:54 GMT 2024","1893","","main.spec.ts","","","","Bundle Create",""
"passed","Tue Aug 27 07:32:10 GMT 2024","Tue Aug 27 07:32:18 GMT 2024","7994","","main.spec.ts","","","","Prodcut Delete",""
"passed","Tue Aug 27 07:31:40 GMT 2024","Tue Aug 27 07:31:43 GMT 2024","3199","","main.spec.ts","","","","Plugin Update",""
"passed","Tue Aug 27 07:31:54 GMT 2024","Tue Aug 27 07:31:54 GMT 2024","262","","main.spec.ts","","","","Products List",""
"passed","Tue Aug 27 07:31:37 GMT 2024","Tue Aug 27 07:31:39 GMT 2024","1625","","main.spec.ts","","","","Free Plugin Create",""
"passed","Tue Aug 27 07:31:47 GMT 2024","Tue Aug 27 07:31:51 GMT 2024","3305","","main.spec.ts","","","","Theme Update",""
"passed","Tue Aug 27 07:31:46 GMT 2024","Tue Aug 27 07:31:47 GMT 2024","1623","","main.spec.ts","","","","Premium Theme Create",""
"passed","Tue Aug 27 07:31:44 GMT 2024","Tue Aug 27 07:31:44 GMT 2024","271","","main.spec.ts","","","","Get all the Themes List",""
"passed","Tue Aug 27 07:31:37 GMT 2024","Tue Aug 27 07:31:37 GMT 2024","257","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Tue Aug 27 07:31:56 GMT 2024","Tue Aug 27 07:31:57 GMT 2024","252","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Tue Aug 27 07:32:07 GMT 2024","Tue Aug 27 07:32:09 GMT 2024","1684","","main.spec.ts","","","","FastSpring Integration",""
"passed","Tue Aug 27 07:31:44 GMT 2024","Tue Aug 27 07:31:46 GMT 2024","1629","","main.spec.ts","","","","Free Theme Create",""
"passed","Tue Aug 27 07:31:39 GMT 2024","Tue Aug 27 07:31:40 GMT 2024","1630","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Tue Aug 27 07:31:36 GMT 2024","Tue Aug 27 07:31:37 GMT 2024","275","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Tue Aug 27 07:31:54 GMT 2024","Tue Aug 27 07:31:55 GMT 2024","547","","main.spec.ts","","","","Products Hash",""
"passed","Tue Aug 27 07:31:43 GMT 2024","Tue Aug 27 07:31:44 GMT 2024","285","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Tue Aug 27 07:31:59 GMT 2024","Tue Aug 27 07:32:06 GMT 2024","7326","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Tue Aug 27 07:32:10 GMT 2024","Tue Aug 27 07:32:10 GMT 2024","522","","main.spec.ts","","","","Gumroad Integration",""
"passed","Tue Aug 27 07:31:56 GMT 2024","Tue Aug 27 07:31:56 GMT 2024","872","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Tue Aug 27 07:31:57 GMT 2024","Tue Aug 27 07:31:57 GMT 2024","624","","main.spec.ts","","","","Order Create",""
"passed","Tue Aug 27 07:31:58 GMT 2024","Tue Aug 27 07:31:58 GMT 2024","576","","main.spec.ts","","","","License Key",""
"passed","Tue Aug 27 07:31:58 GMT 2024","Tue Aug 27 07:31:59 GMT 2024","571","","main.spec.ts","","","","License Activation",""
