"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 21 06:19:19 GMT 2024","Wed Aug 21 06:19:19 GMT 2024","15","","main.spec.ts","","","","Plugin Update",""
"passed","Wed Aug 21 06:19:46 GMT 2024","Wed Aug 21 06:19:46 GMT 2024","15","","main.spec.ts","","","","Theme Update",""
"failed","Wed Aug 21 06:18:51 GMT 2024","Wed Aug 21 06:18:52 GMT 2024","1007","","main.spec.ts","","","","Login",""
"failed","Wed Aug 21 06:19:30 GMT 2024","Wed Aug 21 06:19:31 GMT 2024","1096","","main.spec.ts","","","","Get all the Themes List",""
"failed","Wed Aug 21 06:19:04 GMT 2024","Wed Aug 21 06:19:05 GMT 2024","1006","","main.spec.ts","","","","Get all the Plugins List",""
"failed","Wed Aug 21 06:19:37 GMT 2024","Wed Aug 21 06:19:38 GMT 2024","1081","","main.spec.ts","","","","Free Theme Create",""
"passed","Wed Aug 21 06:20:12 GMT 2024","Wed Aug 21 06:20:12 GMT 2024","3","","main.spec.ts","","","","Order Details",""
"failed","Wed Aug 21 06:19:17 GMT 2024","Wed Aug 21 06:19:18 GMT 2024","1021","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Wed Aug 21 06:20:06 GMT 2024","Wed Aug 21 06:20:06 GMT 2024","3","","main.spec.ts","","","","Single variation & One Time Payment",""
"failed","Wed Aug 21 06:19:11 GMT 2024","Wed Aug 21 06:19:11 GMT 2024","932","","main.spec.ts","","","","Free Plugin Create",""
"failed","Wed Aug 21 06:20:03 GMT 2024","Wed Aug 21 06:20:04 GMT 2024","1043","","main.spec.ts","","","","Products List",""
"failed","Wed Aug 21 06:19:50 GMT 2024","Wed Aug 21 06:19:51 GMT 2024","1044","","main.spec.ts","","","","Release Create",""
"failed","Wed Aug 21 06:19:44 GMT 2024","Wed Aug 21 06:19:45 GMT 2024","1045","","main.spec.ts","","","","Premium Theme Create",""
"passed","Wed Aug 21 06:20:12 GMT 2024","Wed Aug 21 06:20:12 GMT 2024","4","","main.spec.ts","","","","License Activation",""
"passed","Wed Aug 21 06:20:12 GMT 2024","Wed Aug 21 06:20:12 GMT 2024","3","","main.spec.ts","","","","License Key",""
"failed","Wed Aug 21 06:18:58 GMT 2024","Wed Aug 21 06:18:59 GMT 2024","994","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Wed Aug 21 06:20:06 GMT 2024","Wed Aug 21 06:20:06 GMT 2024","16","","main.spec.ts","","","","Products Hash",""
"passed","Wed Aug 21 06:20:12 GMT 2024","Wed Aug 21 06:20:12 GMT 2024","16","","main.spec.ts","","","","Order Create",""
"passed","Wed Aug 21 06:20:12 GMT 2024","Wed Aug 21 06:20:13 GMT 2024","973","","main.spec.ts","","","","Mailchimp Integration",""
"failed","Wed Aug 21 06:19:24 GMT 2024","Wed Aug 21 06:19:25 GMT 2024","1083","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Wed Aug 21 06:20:06 GMT 2024","Wed Aug 21 06:20:06 GMT 2024","3","","main.spec.ts","","","","License Mapping",""
"failed","Wed Aug 21 06:20:10 GMT 2024","Wed Aug 21 06:20:11 GMT 2024","989","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Wed Aug 21 06:20:22 GMT 2024","Wed Aug 21 06:20:22 GMT 2024","16","","main.spec.ts","","","","Prodcut Delete",""
"failed","Wed Aug 21 06:20:19 GMT 2024","Wed Aug 21 06:20:21 GMT 2024","1988","","main.spec.ts","","","","weMail Integration",""
"failed","Wed Aug 21 06:19:57 GMT 2024","Wed Aug 21 06:19:58 GMT 2024","1043","","main.spec.ts","","","","Bundle Create",""
