"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 21 09:45:08 GMT 2024","Wed Aug 21 09:45:09 GMT 2024","1060","","main.spec.ts","","","","Bundle Create",""
"passed","Wed Aug 21 09:44:17 GMT 2024","Wed Aug 21 09:44:18 GMT 2024","980","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Wed Aug 21 09:45:16 GMT 2024","Wed Aug 21 09:45:16 GMT 2024","3","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Wed Aug 21 09:44:18 GMT 2024","Wed Aug 21 09:44:19 GMT 2024","1014","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Wed Aug 21 09:44:19 GMT 2024","Wed Aug 21 09:44:22 GMT 2024","2415","","main.spec.ts","","","","Free Plugin Create",""
"passed","Wed Aug 21 09:45:23 GMT 2024","Wed Aug 21 09:45:24 GMT 2024","1020","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Wed Aug 21 09:44:57 GMT 2024","Wed Aug 21 09:44:57 GMT 2024","15","","main.spec.ts","","","","Theme Update",""
"failed","Wed Aug 21 09:45:14 GMT 2024","Wed Aug 21 09:45:15 GMT 2024","981","","main.spec.ts","","","","Products List",""
"failed","Wed Aug 21 09:44:55 GMT 2024","Wed Aug 21 09:44:56 GMT 2024","983","","main.spec.ts","","","","Premium Theme Create",""
"passed","Wed Aug 21 09:45:23 GMT 2024","Wed Aug 21 09:45:23 GMT 2024","15","","main.spec.ts","","","","Order Create",""
"passed","Wed Aug 21 09:44:22 GMT 2024","Wed Aug 21 09:44:24 GMT 2024","2538","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Wed Aug 21 09:45:43 GMT 2024","Wed Aug 21 09:45:43 GMT 2024","15","","main.spec.ts","","","","Prodcut Delete",""
"passed","Wed Aug 21 09:45:23 GMT 2024","Wed Aug 21 09:45:23 GMT 2024","3","","main.spec.ts","","","","Order Details",""
"passed","Wed Aug 21 09:45:16 GMT 2024","Wed Aug 21 09:45:16 GMT 2024","3","","main.spec.ts","","","","License Mapping",""
"passed","Wed Aug 21 09:45:23 GMT 2024","Wed Aug 21 09:45:23 GMT 2024","3","","main.spec.ts","","","","License Key",""
"failed","Wed Aug 21 09:45:30 GMT 2024","Wed Aug 21 09:45:32 GMT 2024","1925","","main.spec.ts","","","","weMail Integration",""
"passed","Wed Aug 21 09:44:16 GMT 2024","Wed Aug 21 09:44:17 GMT 2024","1162","","main.spec.ts","","","","Login",""
"failed","Wed Aug 21 09:45:40 GMT 2024","Wed Aug 21 09:45:41 GMT 2024","1938","","main.spec.ts","","","","FastSpring Integration",""
"failed","Wed Aug 21 09:45:01 GMT 2024","Wed Aug 21 09:45:02 GMT 2024","1078","","main.spec.ts","","","","Release Create",""
"failed","Wed Aug 21 09:44:42 GMT 2024","Wed Aug 21 09:44:43 GMT 2024","982","","main.spec.ts","","","","Get all the Themes List",""
"failed","Wed Aug 21 09:44:35 GMT 2024","Wed Aug 21 09:44:36 GMT 2024","1024","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Wed Aug 21 09:44:30 GMT 2024","Wed Aug 21 09:44:30 GMT 2024","31","","main.spec.ts","","","","Plugin Update",""
"failed","Wed Aug 21 09:44:48 GMT 2024","Wed Aug 21 09:44:49 GMT 2024","1022","","main.spec.ts","","","","Free Theme Create",""
"passed","Wed Aug 21 09:45:16 GMT 2024","Wed Aug 21 09:45:16 GMT 2024","15","","main.spec.ts","","","","Products Hash",""
"failed","Wed Aug 21 09:45:21 GMT 2024","Wed Aug 21 09:45:22 GMT 2024","991","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Wed Aug 21 09:45:23 GMT 2024","Wed Aug 21 09:45:23 GMT 2024","3","","main.spec.ts","","","","License Activation",""
